algorithm,seed,silhouette,mutation_rate,pop_size,inertia_weight,n_particles,evaporation_rate,n_ants
GA,0,0.3543417774669906,0.1,10.0,,,,
GA,1,0.34800604762851894,0.1,10.0,,,,
GA,2,0.33103887035974894,0.1,10.0,,,,
GA,3,0.3456280996223092,0.1,10.0,,,,
GA,4,0.2915608730749134,0.1,10.0,,,,
GA,5,0.3533452076968267,0.1,10.0,,,,
GA,6,0.352138973297331,0.1,10.0,,,,
GA,7,0.3502955193306947,0.1,10.0,,,,
GA,8,0.35673114839451514,0.1,10.0,,,,
GA,9,0.3564559290933918,0.1,10.0,,,,
GA,10,0.3315608257400284,0.1,10.0,,,,
GA,11,0.3593610286435666,0.1,10.0,,,,
GA,12,0.3547389991868911,0.1,10.0,,,,
GA,13,0.3555859052600192,0.1,10.0,,,,
GA,14,0.3551992008823547,0.1,10.0,,,,
GA,15,0.3551992008823547,0.1,10.0,,,,
GA,16,0.3582787920440284,0.1,10.0,,,,
GA,17,0.3546625537789926,0.1,10.0,,,,
GA,18,0.35915323552075196,0.1,10.0,,,,
GA,19,0.3540500309615329,0.1,10.0,,,,
GA,20,0.3510741766194617,0.1,10.0,,,,
GA,21,0.334924046990468,0.1,10.0,,,,
GA,22,0.2858883432730222,0.1,10.0,,,,
GA,23,0.3240106442671541,0.1,10.0,,,,
GA,24,0.35952038374773243,0.1,10.0,,,,
GA,25,0.29351734061354057,0.1,10.0,,,,
GA,26,0.3484160868228251,0.1,10.0,,,,
GA,27,0.35542110074319566,0.1,10.0,,,,
GA,28,0.3597301183775983,0.1,10.0,,,,
GA,29,0.3366566075379412,0.1,10.0,,,,
GA,0,0.349867429069041,0.1,20.0,,,,
GA,1,0.3583475258424609,0.1,20.0,,,,
GA,2,0.2927356276650856,0.1,20.0,,,,
GA,3,0.33203872874008916,0.1,20.0,,,,
GA,4,0.3440769449515302,0.1,20.0,,,,
GA,5,0.35952038374773243,0.1,20.0,,,,
GA,6,0.28875467609230376,0.1,20.0,,,,
GA,7,0.3551992008823547,0.1,20.0,,,,
GA,8,0.35881346365281586,0.1,20.0,,,,
GA,9,0.35949221143242605,0.1,20.0,,,,
GA,10,0.3547028130529382,0.1,20.0,,,,
GA,11,0.35379028870398843,0.1,20.0,,,,
GA,12,0.35214413640221637,0.1,20.0,,,,
GA,13,0.32769327347173716,0.1,20.0,,,,
GA,14,0.35521830718695324,0.1,20.0,,,,
GA,15,0.32158759074861765,0.1,20.0,,,,
GA,16,0.3593610286435666,0.1,20.0,,,,
GA,17,0.35364353681279254,0.1,20.0,,,,
GA,18,0.30916655874934973,0.1,20.0,,,,
GA,19,0.3546004582661844,0.1,20.0,,,,
GA,20,0.3448434957257059,0.1,20.0,,,,
GA,21,0.35486781130673495,0.1,20.0,,,,
GA,22,0.3593085939404446,0.1,20.0,,,,
GA,23,0.2536878211536364,0.1,20.0,,,,
GA,24,0.35533974191772877,0.1,20.0,,,,
GA,25,0.35487311890207734,0.1,20.0,,,,
GA,26,0.20879242308567492,0.1,20.0,,,,
GA,27,0.3527511774497012,0.1,20.0,,,,
GA,28,0.26953493340918433,0.1,20.0,,,,
GA,29,0.35216526107064255,0.1,20.0,,,,
GA,0,0.35791755948268694,0.1,30.0,,,,
GA,1,0.34633035218401725,0.1,30.0,,,,
GA,2,0.32226498889453303,0.1,30.0,,,,
GA,3,0.330683555055909,0.1,30.0,,,,
GA,4,0.35908257406790084,0.1,30.0,,,,
GA,5,0.35471474724762414,0.1,30.0,,,,
GA,6,0.3590798780232927,0.1,30.0,,,,
GA,7,0.3511327618569109,0.1,30.0,,,,
GA,8,0.3498949810939996,0.1,30.0,,,,
GA,9,0.35402286126217214,0.1,30.0,,,,
GA,10,0.3515485612019445,0.1,30.0,,,,
GA,11,0.353458035908875,0.1,30.0,,,,
GA,12,0.3590798780232927,0.1,30.0,,,,
GA,13,0.35952038374773243,0.1,30.0,,,,
GA,14,0.3543417774669906,0.1,30.0,,,,
GA,15,0.35320700523789766,0.1,30.0,,,,
GA,16,0.35261230157311957,0.1,30.0,,,,
GA,17,0.33863420496836033,0.1,30.0,,,,
GA,18,0.35949221143242605,0.1,30.0,,,,
GA,19,0.26535804561506887,0.1,30.0,,,,
GA,20,0.35440910252113783,0.1,30.0,,,,
GA,21,0.3497600959390093,0.1,30.0,,,,
GA,22,0.35516747408547616,0.1,30.0,,,,
GA,23,0.2471457260500084,0.1,30.0,,,,
GA,24,0.35949221143242605,0.1,30.0,,,,
GA,25,0.35542110074319566,0.1,30.0,,,,
GA,26,0.3593610286435666,0.1,30.0,,,,
GA,27,0.35486781130673495,0.1,30.0,,,,
GA,28,0.3503430454752903,0.1,30.0,,,,
GA,29,0.3432001129139693,0.1,30.0,,,,
GA,0,0.35712226400664676,0.2,10.0,,,,
GA,1,0.34778467936681084,0.2,10.0,,,,
GA,2,0.35881346365281586,0.2,10.0,,,,
GA,3,0.3430298358254433,0.2,10.0,,,,
GA,4,0.3371355387696656,0.2,10.0,,,,
GA,5,0.343286092427721,0.2,10.0,,,,
GA,6,0.35526997305875285,0.2,10.0,,,,
GA,7,0.3254444738710861,0.2,10.0,,,,
GA,8,0.2841656219252201,0.2,10.0,,,,
GA,9,0.3436116911592363,0.2,10.0,,,,
GA,10,0.35952038374773243,0.2,10.0,,,,
GA,11,0.35436298454520865,0.2,10.0,,,,
GA,12,0.3429561018637215,0.2,10.0,,,,
GA,13,0.329754871764537,0.2,10.0,,,,
GA,14,0.3372904836600455,0.2,10.0,,,,
GA,15,0.30639799624807346,0.2,10.0,,,,
GA,16,0.3591513558034666,0.2,10.0,,,,
GA,17,0.34657721967789823,0.2,10.0,,,,
GA,18,0.35560787448515213,0.2,10.0,,,,
GA,19,0.1530820273606655,0.2,10.0,,,,
GA,20,0.35833654968390966,0.2,10.0,,,,
GA,21,0.35463805543992194,0.2,10.0,,,,
GA,22,0.31681959048619823,0.2,10.0,,,,
GA,23,0.3522792711802157,0.2,10.0,,,,
GA,24,0.26792643571906416,0.2,10.0,,,,
GA,25,0.31294493388237227,0.2,10.0,,,,
GA,26,0.2888848965766465,0.2,10.0,,,,
GA,27,0.35542110074319566,0.2,10.0,,,,
GA,28,0.3335462169159602,0.2,10.0,,,,
GA,29,0.3412889455625991,0.2,10.0,,,,
GA,0,0.3336472963035596,0.2,20.0,,,,
GA,1,0.3597301183775983,0.2,20.0,,,,
GA,2,0.35096238442441147,0.2,20.0,,,,
GA,3,0.3334651681258483,0.2,20.0,,,,
GA,4,0.34966470678013833,0.2,20.0,,,,
GA,5,0.35320853792619117,0.2,20.0,,,,
GA,6,0.31440287389977056,0.2,20.0,,,,
GA,7,0.3597301183775983,0.2,20.0,,,,
GA,8,0.24177069167468082,0.2,20.0,,,,
GA,9,0.24746646263692507,0.2,20.0,,,,
GA,10,0.355897366090515,0.2,20.0,,,,
GA,11,0.35952038374773243,0.2,20.0,,,,
GA,12,0.31708097921767275,0.2,20.0,,,,
GA,13,0.3593610286435666,0.2,20.0,,,,
GA,14,0.3593085939404446,0.2,20.0,,,,
GA,15,0.3477277688278826,0.2,20.0,,,,
GA,16,0.35545115056233345,0.2,20.0,,,,
GA,17,0.3378437486650528,0.2,20.0,,,,
GA,18,0.14708923010126707,0.2,20.0,,,,
GA,19,0.25832000073372663,0.2,20.0,,,,
GA,20,0.34592357784581906,0.2,20.0,,,,
GA,21,0.3527075239635477,0.2,20.0,,,,
GA,22,0.35875329124679844,0.2,20.0,,,,
GA,23,0.3538600236352012,0.2,20.0,,,,
GA,24,0.3322368520854724,0.2,20.0,,,,
GA,25,0.3424485530386241,0.2,20.0,,,,
GA,26,0.3342253759556792,0.2,20.0,,,,
GA,27,0.25447076384821865,0.2,20.0,,,,
GA,28,0.34492737173777244,0.2,20.0,,,,
GA,29,0.3466041638302863,0.2,20.0,,,,
GA,0,0.3456820983862992,0.2,30.0,,,,
GA,1,0.3470719096519663,0.2,30.0,,,,
GA,2,0.3279413290120688,0.2,30.0,,,,
GA,3,0.3547615319065408,0.2,30.0,,,,
GA,4,0.3527511774497012,0.2,30.0,,,,
GA,5,0.35458020750802777,0.2,30.0,,,,
GA,6,0.3546625537789926,0.2,30.0,,,,
GA,7,0.35881346365281586,0.2,30.0,,,,
GA,8,0.28693935032463175,0.2,30.0,,,,
GA,9,0.3025852207750481,0.2,30.0,,,,
GA,10,0.3593085939404446,0.2,30.0,,,,
GA,11,0.352212424931916,0.2,30.0,,,,
GA,12,0.350430723314842,0.2,30.0,,,,
GA,13,0.35711731972970767,0.2,30.0,,,,
GA,14,0.35291560136860406,0.2,30.0,,,,
GA,15,0.3461777162907094,0.2,30.0,,,,
GA,16,0.35604664519363327,0.2,30.0,,,,
GA,17,0.3533570772642959,0.2,30.0,,,,
GA,18,0.30008352844093056,0.2,30.0,,,,
GA,19,0.34881864856845857,0.2,30.0,,,,
GA,20,0.35949221143242605,0.2,30.0,,,,
GA,21,0.33810929581636756,0.2,30.0,,,,
GA,22,0.34662120628736404,0.2,30.0,,,,
GA,23,0.22039929329439453,0.2,30.0,,,,
GA,24,0.28990848744285463,0.2,30.0,,,,
GA,25,0.3593438513010659,0.2,30.0,,,,
GA,26,0.30341333873040155,0.2,30.0,,,,
GA,27,0.21929854420504868,0.2,30.0,,,,
GA,28,0.3536395305288222,0.2,30.0,,,,
GA,29,0.32293549135253713,0.2,30.0,,,,
GA,0,0.35372615360966214,0.3,10.0,,,,
GA,1,0.3315597729340763,0.3,10.0,,,,
GA,2,0.33618488504246985,0.3,10.0,,,,
GA,3,0.33171707675535367,0.3,10.0,,,,
GA,4,0.35083090828598273,0.3,10.0,,,,
GA,5,0.35325152262866105,0.3,10.0,,,,
GA,6,0.3538600236352012,0.3,10.0,,,,
GA,7,0.33976392220512197,0.3,10.0,,,,
GA,8,0.32291603002205976,0.3,10.0,,,,
GA,9,0.31439090978091927,0.3,10.0,,,,
GA,10,0.3493558868052591,0.3,10.0,,,,
GA,11,0.3226249075782879,0.3,10.0,,,,
GA,12,0.3551992008823547,0.3,10.0,,,,
GA,13,0.3532389925838115,0.3,10.0,,,,
GA,14,0.3457828978040427,0.3,10.0,,,,
GA,15,0.35076218997686254,0.3,10.0,,,,
GA,16,0.28140325615538464,0.3,10.0,,,,
GA,17,0.35364192585322735,0.3,10.0,,,,
GA,18,0.3397227790244102,0.3,10.0,,,,
GA,19,0.3296538050927478,0.3,10.0,,,,
GA,20,0.33660106137768225,0.3,10.0,,,,
GA,21,0.34494391093956944,0.3,10.0,,,,
GA,22,0.3498795569261205,0.3,10.0,,,,
GA,23,0.3506969980464126,0.3,10.0,,,,
GA,24,0.35329418562588993,0.3,10.0,,,,
GA,25,0.2891257210112149,0.3,10.0,,,,
GA,26,0.3491766580063216,0.3,10.0,,,,
GA,27,0.32537386810490837,0.3,10.0,,,,
GA,28,0.3335462169159602,0.3,10.0,,,,
GA,29,0.3279586598329287,0.3,10.0,,,,
GA,0,0.329817665562596,0.3,20.0,,,,
GA,1,0.3558065014002414,0.3,20.0,,,,
GA,2,0.3573248245090801,0.3,20.0,,,,
GA,3,0.3339431595074812,0.3,20.0,,,,
GA,4,0.2769284900109089,0.3,20.0,,,,
GA,5,0.3113739376415445,0.3,20.0,,,,
GA,6,0.3501059643974688,0.3,20.0,,,,
GA,7,0.3533671691702345,0.3,20.0,,,,
GA,8,0.35190863834699776,0.3,20.0,,,,
GA,9,0.35471474724762414,0.3,20.0,,,,
GA,10,0.35403357251520945,0.3,20.0,,,,
GA,11,0.3589575717698723,0.3,20.0,,,,
GA,12,0.34771839290542045,0.3,20.0,,,,
GA,13,0.34906279426948084,0.3,20.0,,,,
GA,14,0.35418723952382236,0.3,20.0,,,,
GA,15,0.2820929611758287,0.3,20.0,,,,
GA,16,0.2688076381231984,0.3,20.0,,,,
GA,17,0.3515948499649669,0.3,20.0,,,,
GA,18,0.3451103977252378,0.3,20.0,,,,
GA,19,0.31582862817190444,0.3,20.0,,,,
GA,20,0.31739070364097866,0.3,20.0,,,,
GA,21,0.27796601201107346,0.3,20.0,,,,
GA,22,0.34782327738650154,0.3,20.0,,,,
GA,23,0.29710486346186266,0.3,20.0,,,,
GA,24,0.3035722831505129,0.3,20.0,,,,
GA,25,0.3180050309596642,0.3,20.0,,,,
GA,26,0.2406069531854545,0.3,20.0,,,,
GA,27,0.29248682913730817,0.3,20.0,,,,
GA,28,0.3476082706771081,0.3,20.0,,,,
GA,29,0.27217094642389045,0.3,20.0,,,,
GA,0,0.35528627788375233,0.3,30.0,,,,
GA,1,0.35514334720253254,0.3,30.0,,,,
GA,2,0.34413472572354925,0.3,30.0,,,,
GA,3,0.3495662464178907,0.3,30.0,,,,
GA,4,0.35183297451343987,0.3,30.0,,,,
GA,5,0.3216819030788609,0.3,30.0,,,,
GA,6,0.16458296600852484,0.3,30.0,,,,
GA,7,0.2629395824865839,0.3,30.0,,,,
GA,8,0.24886136455540878,0.3,30.0,,,,
GA,9,0.35293982679420793,0.3,30.0,,,,
GA,10,0.32783858273526223,0.3,30.0,,,,
GA,11,0.34646705757321,0.3,30.0,,,,
GA,12,0.3527511774497012,0.3,30.0,,,,
GA,13,0.2558273799574689,0.3,30.0,,,,
GA,14,0.34909142075845123,0.3,30.0,,,,
GA,15,0.3492204081560341,0.3,30.0,,,,
GA,16,0.34202776950124486,0.3,30.0,,,,
GA,17,0.34828200690443806,0.3,30.0,,,,
GA,18,0.3373002024944225,0.3,30.0,,,,
GA,19,0.3413967338109534,0.3,30.0,,,,
GA,20,0.3462720419757595,0.3,30.0,,,,
GA,21,0.3405984445144891,0.3,30.0,,,,
GA,22,0.3547615319065408,0.3,30.0,,,,
GA,23,0.2871143389880933,0.3,30.0,,,,
GA,24,0.3238723720601552,0.3,30.0,,,,
GA,25,0.3090913567614137,0.3,30.0,,,,
GA,26,0.3460632633689373,0.3,30.0,,,,
GA,27,0.3149985647026759,0.3,30.0,,,,
GA,28,0.34252158192151755,0.3,30.0,,,,
GA,29,0.3298887401335928,0.3,30.0,,,,
PSO,0,0.3546572454403534,,,0.5,20.0,,
PSO,1,0.3595313549783144,,,0.5,20.0,,
PSO,2,0.35542110074319566,,,0.5,20.0,,
PSO,3,0.33547192894004574,,,0.5,20.0,,
PSO,4,0.3595313549783144,,,0.5,20.0,,
PSO,5,0.3597301183775983,,,0.5,20.0,,
PSO,6,0.35417240342262785,,,0.5,20.0,,
PSO,7,0.3595989301252757,,,0.5,20.0,,
PSO,8,0.3595313549783144,,,0.5,20.0,,
PSO,9,0.3552630930324675,,,0.5,20.0,,
PSO,10,0.33547192894004574,,,0.5,20.0,,
PSO,11,0.3535051388757906,,,0.5,20.0,,
PSO,12,0.33547192894004574,,,0.5,20.0,,
PSO,13,0.35830244567961406,,,0.5,20.0,,
PSO,14,0.34325557667948187,,,0.5,20.0,,
PSO,15,0.35714312980340907,,,0.5,20.0,,
PSO,16,0.35949221143242605,,,0.5,20.0,,
PSO,17,0.3539726074033072,,,0.5,20.0,,
PSO,18,0.33547192894004574,,,0.5,20.0,,
PSO,19,0.3468378694403313,,,0.5,20.0,,
PSO,20,0.35340652476719014,,,0.5,20.0,,
PSO,21,0.3597301183775983,,,0.5,20.0,,
PSO,22,0.3549660366015985,,,0.5,20.0,,
PSO,23,0.3547615319065408,,,0.5,20.0,,
PSO,24,0.3546004582661844,,,0.5,20.0,,
PSO,25,0.35560787448515213,,,0.5,20.0,,
PSO,26,0.35516539559657906,,,0.5,20.0,,
PSO,27,0.35486781130673495,,,0.5,20.0,,
PSO,28,0.35880977401117803,,,0.5,20.0,,
PSO,29,0.3596957982799809,,,0.5,20.0,,
PSO,0,0.35516747408547616,,,0.5,30.0,,
PSO,1,0.35573924324368106,,,0.5,30.0,,
PSO,2,0.35544923434923104,,,0.5,30.0,,
PSO,3,0.33547192894004574,,,0.5,30.0,,
PSO,4,0.35881346365281586,,,0.5,30.0,,
PSO,5,0.3597301183775983,,,0.5,30.0,,
PSO,6,0.35472341749593084,,,0.5,30.0,,
PSO,7,0.3597301183775983,,,0.5,30.0,,
PSO,8,0.3595313549783144,,,0.5,30.0,,
PSO,9,0.3588105027282586,,,0.5,30.0,,
PSO,10,0.3595313549783144,,,0.5,30.0,,
PSO,11,0.35600569431660406,,,0.5,30.0,,
PSO,12,0.3595313549783144,,,0.5,30.0,,
PSO,13,0.3539222193595577,,,0.5,30.0,,
PSO,14,0.35949221143242605,,,0.5,30.0,,
